state,year,Major Cities,Inner Regional,Outer Regional,Remote,Very Remote
NEW SOUTH WALES,2013,1.88,2.19,2.45,2.55,3.01
NEW SOUTH WALES,2014,1.8,2.09,2.35,2.43,2.98
NEW SOUTH WALES,2015,1.78,2.06,2.32,2.46,3.02
NEW SOUTH WALES,2016,1.72,1.97,2.21,2.49,2.7
NEW SOUTH WALES,2017,1.71,1.99,2.23,2.61,2.33
NEW SOUTH WALES,2018,1.72,2.01,2.24,2.66,2.18
NEW SOUTH WALES,2019,1.7,2.02,2.25,2.68,2.13
NEW SOUTH WALES,2020,1.68,2.02,2.24,2.68,2.22
NEW SOUTH WALES,2021,1.64,1.99,2.21,2.56,2.25
NEW SOUTH WALES,2022,1.63,2.04,2.32,2.63,2.41
VICTORIA,2013,1.74,2.13,2.31,2.39,NA
VICTORIA,2014,1.72,2.1,2.25,2.69,NA
VICTORIA,2015,1.65,2.01,2.15,2.6,NA
VICTORIA,2016,1.67,2.02,2.19,2.67,NA
VICTORIA,2017,1.68,2.01,2.2,2.66,NA
VICTORIA,2018,1.66,2.01,2.19,2.4,NA
VICTORIA,2019,1.59,1.9,2.03,2.18,NA
VICTORIA,2020,1.49,1.82,1.93,2.07,NA
VICTORIA,2021,1.46,1.81,1.87,1.97,NA
VICTORIA,2022,1.45,1.83,1.9,2.39,NA
QUEENSLAND,2013,1.86,2.25,2.21,2.6,2.62
QUEENSLAND,2014,1.82,2.2,2.19,2.57,2.68
QUEENSLAND,2015,1.78,2.14,2.14,2.52,2.66
QUEENSLAND,2016,1.75,2.08,2.08,2.4,2.61
QUEENSLAND,2017,1.71,2.02,2.01,2.3,2.52
QUEENSLAND,2018,1.7,1.99,1.97,2.13,2.42
QUEENSLAND,2019,1.67,1.97,1.94,2.13,2.33
QUEENSLAND,2020,1.63,1.95,1.9,2.07,2.13
QUEENSLAND,2021,1.64,1.97,1.91,2.13,2.08
QUEENSLAND,2022,1.62,1.98,1.92,2.12,2.07
SOUTH AUSTRALIA,2013,1.8,2.09,2.24,2.32,2.09
SOUTH AUSTRALIA,2014,1.8,2.02,2.24,2.36,1.98
SOUTH AUSTRALIA,2015,1.76,1.94,2.16,2.29,1.98
SOUTH AUSTRALIA,2016,1.74,1.89,2.09,2.24,2.05
SOUTH AUSTRALIA,2017,1.68,1.86,2,2.13,2.01
SOUTH AUSTRALIA,2018,1.64,1.87,2,2.15,2.19
SOUTH AUSTRALIA,2019,1.61,1.83,1.96,2.15,2.18
SOUTH AUSTRALIA,2020,1.57,1.81,1.94,2.12,2.11
SOUTH AUSTRALIA,2021,1.58,1.84,1.92,2.02,1.87
SOUTH AUSTRALIA,2022,1.56,1.86,1.95,1.99,1.79
WESTERN AUSTRALIA,2013,1.85,2.11,2.33,2.31,2.2
WESTERN AUSTRALIA,2014,1.85,2.12,2.3,2.31,2.13
WESTERN AUSTRALIA,2015,1.83,2.11,2.28,2.33,2.19
WESTERN AUSTRALIA,2016,1.83,2.1,2.26,2.36,2.18
WESTERN AUSTRALIA,2017,1.81,2.04,2.22,2.3,2.15
WESTERN AUSTRALIA,2018,1.77,1.97,2.13,2.25,2.01
WESTERN AUSTRALIA,2019,1.73,1.89,2.08,2.22,1.95
WESTERN AUSTRALIA,2020,1.68,1.86,2.05,2.22,1.88
WESTERN AUSTRALIA,2021,1.68,1.89,2.1,2.21,1.85
WESTERN AUSTRALIA,2022,1.63,1.9,2.07,2.14,1.77
TASMANIA,2013,NA,2,2.21,2.32,2.23
TASMANIA,2014,NA,1.93,2.15,2.13,2.3
TASMANIA,2015,NA,1.89,2.08,2,2.32
TASMANIA,2016,NA,1.89,2.04,2.06,2.34
TASMANIA,2017,NA,1.82,2,2.03,2.16
TASMANIA,2018,NA,1.75,1.96,1.98,1.81
TASMANIA,2019,NA,1.63,1.9,1.86,2.04
TASMANIA,2020,NA,1.59,1.85,1.82,1.89
TASMANIA,2021,NA,1.56,1.86,1.76,2.08
TASMANIA,2022,NA,1.5,1.82,1.63,2.07
NORTHERN TERRITORY,2013,NA,NA,2.02,2.31,2.13
NORTHERN TERRITORY,2014,NA,NA,2.02,2.24,2.03
NORTHERN TERRITORY,2015,NA,NA,2,2.13,1.95
NORTHERN TERRITORY,2016,NA,NA,1.95,2.12,1.91
NORTHERN TERRITORY,2017,NA,NA,1.9,2.07,1.84
NORTHERN TERRITORY,2018,NA,NA,1.82,2.12,1.95
NORTHERN TERRITORY,2019,NA,NA,1.77,2.05,1.91
NORTHERN TERRITORY,2020,NA,NA,1.73,2.03,1.9
NORTHERN TERRITORY,2021,NA,NA,1.78,1.89,1.7
NORTHERN TERRITORY,2022,NA,NA,1.77,1.84,1.67
AUSTRALIAN CAPITAL TERRITORY,2013,1.77,NA,NA,NA,NA
AUSTRALIAN CAPITAL TERRITORY,2014,1.77,NA,NA,NA,NA
AUSTRALIAN CAPITAL TERRITORY,2015,1.74,NA,NA,NA,NA
AUSTRALIAN CAPITAL TERRITORY,2016,1.67,NA,NA,NA,NA
AUSTRALIAN CAPITAL TERRITORY,2017,1.7,NA,NA,NA,NA
AUSTRALIAN CAPITAL TERRITORY,2018,1.63,NA,NA,NA,NA
AUSTRALIAN CAPITAL TERRITORY,2019,1.62,NA,NA,NA,NA
AUSTRALIAN CAPITAL TERRITORY,2020,1.49,NA,NA,NA,NA
AUSTRALIAN CAPITAL TERRITORY,2021,1.48,NA,NA,NA,NA
AUSTRALIAN CAPITAL TERRITORY,2022,1.44,NA,NA,NA,NA
