state,region,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
NEW SOUTH WALES,Major Cities,1.88,1.8,1.78,1.72,1.71,1.72,1.7,1.68,1.64,1.63
NEW SOUTH WALES,Inner Regional,2.19,2.09,2.06,1.97,1.99,2.01,2.02,2.02,1.99,2.04
NEW SOUTH WALES,Outer Regional,2.45,2.35,2.32,2.21,2.23,2.24,2.25,2.24,2.21,2.32
NEW SOUTH WALES,Remote,2.55,2.43,2.46,2.49,2.61,2.66,2.68,2.68,2.56,2.63
NEW SOUTH WALES,Very Remote,3.01,2.98,3.02,2.7,2.33,2.18,2.13,2.22,2.25,2.41
VICTORIA,Major Cities,1.74,1.72,1.65,1.67,1.68,1.66,1.59,1.49,1.46,1.45
VICTORIA,Inner Regional,2.13,2.1,2.01,2.02,2.01,2.01,1.9,1.82,1.81,1.83
VICTORIA,Outer Regional,2.31,2.25,2.15,2.19,2.2,2.19,2.03,1.93,1.87,1.9
VICTORIA,Remote,2.39,2.69,2.6,2.67,2.66,2.4,2.18,2.07,1.97,2.39
QUEENSLAND,Major Cities,1.86,1.82,1.78,1.75,1.71,1.7,1.67,1.63,1.64,1.62
QUEENSLAND,Inner Regional,2.25,2.2,2.14,2.08,2.02,1.99,1.97,1.95,1.97,1.98
QUEENSLAND,Outer Regional,2.21,2.19,2.14,2.08,2.01,1.97,1.94,1.9,1.91,1.92
QUEENSLAND,Remote,2.6,2.57,2.52,2.4,2.3,2.13,2.13,2.07,2.13,2.12
QUEENSLAND,Very Remote,2.62,2.68,2.66,2.61,2.52,2.42,2.33,2.13,2.08,2.07
SOUTH AUSTRALIA,Major Cities,1.8,1.8,1.76,1.74,1.68,1.64,1.61,1.57,1.58,1.56
SOUTH AUSTRALIA,Inner Regional,2.09,2.02,1.94,1.89,1.86,1.87,1.83,1.81,1.84,1.86
SOUTH AUSTRALIA,Outer Regional,2.24,2.24,2.16,2.09,2,2,1.96,1.94,1.92,1.95
SOUTH AUSTRALIA,Remote,2.32,2.36,2.29,2.24,2.13,2.15,2.15,2.12,2.02,1.99
SOUTH AUSTRALIA,Very Remote,2.09,1.98,1.98,2.05,2.01,2.19,2.18,2.11,1.87,1.79
WESTERN AUSTRALIA,Major Cities,1.85,1.85,1.83,1.83,1.81,1.77,1.73,1.68,1.68,1.63
WESTERN AUSTRALIA,Inner Regional,2.11,2.12,2.11,2.1,2.04,1.97,1.89,1.86,1.89,1.9
WESTERN AUSTRALIA,Outer Regional,2.33,2.3,2.28,2.26,2.22,2.13,2.08,2.05,2.1,2.07
WESTERN AUSTRALIA,Remote,2.31,2.31,2.33,2.36,2.3,2.25,2.22,2.22,2.21,2.14
WESTERN AUSTRALIA,Very Remote,2.2,2.13,2.19,2.18,2.15,2.01,1.95,1.88,1.85,1.77
TASMANIA,Inner Regional,2,1.93,1.89,1.89,1.82,1.75,1.63,1.59,1.56,1.5
TASMANIA,Outer Regional,2.21,2.15,2.08,2.04,2,1.96,1.9,1.85,1.86,1.82
TASMANIA,Remote,2.32,2.13,2,2.06,2.03,1.98,1.86,1.82,1.76,1.63
TASMANIA,Very Remote,2.23,2.3,2.32,2.34,2.16,1.81,2.04,1.89,2.08,2.07
NORTHERN TERRITORY,Outer Regional,2.02,2.02,2,1.95,1.9,1.82,1.77,1.73,1.78,1.77
NORTHERN TERRITORY,Remote,2.31,2.24,2.13,2.12,2.07,2.12,2.05,2.03,1.89,1.84
NORTHERN TERRITORY,Very Remote,2.13,2.03,1.95,1.91,1.84,1.95,1.91,1.9,1.7,1.67
AUSTRALIAN CAPITAL TERRITORY,Major Cities,1.77,1.77,1.74,1.67,1.7,1.63,1.62,1.49,1.48,1.44
